GenusSpecies,NestLoc,Excavate,Sociality,Lecty,MeanITD,SDITD,ITDCV,Specimen1,Specimen2,Specimen3,Specimen4,Specimen5,Neal,InKremen,PredForDist_Typical,CILow_Typical,CIHigh_Typical,PredForDist_Feeder,CILow_Feeder,CIHigh_Feeder,PredForDist_HomingMax,CILow_HomingMax,CIHigh_HomingMax,abun.net,abun.pan,num.occ.net,num.occ.pan,d,GenusSpecies
Andrena misella,below,ex,solitary,polylectic,1.926829268,0.034493014,0.017901438,1.902439024,1.951219512,NA,NA,NA,yes,no,0.486977074,0.192342567,1.232939093,0.903790586,0.430782682,1.860136118,0.667498809,0.282152295,1.523716465,2,0,2,0,0.592879839,Andrena misella
Andrena miserabilis,below,ex,solitary,polylectic,1.49032256,0.131330358,0.088122103,1.4516129,1.3709677,1.3709677,1.6129032,1.6451613,yes,no,0.339179658,0.153465311,0.749634166,0.69823279,0.378574862,1.237754239,0.458525858,0.221781822,0.927462633,0,0,0,0,NA,Andrena miserabilis
Andrena nigrocaerulea,below,ex,solitary,polylectic,1.912195122,0.13536036,0.070787944,2.048780488,1.707317073,1.951219512,2,1.853658537,yes,yes,0.481777645,0.191057889,1.214865825,0.896895424,0.42913415,2.079788382,0.660100888,0.280143446,1.501430494,1,4,1,4,0,Andrena nigrocaerulea
Andrena orthocarpi,below,ex,solitary,polylectic,1.482926829,0.140535222,0.094768818,1.512195122,1.658536585,1.56097561,1.365853659,1.317073171,yes,yes,0.336812171,0.152795679,0.742445333,0.694752174,0.377628881,1.316372653,0.45520336,0.220750177,0.918588309,1,1,1,1,0,Andrena orthocarpi
Andrena pallidifovea,below,ex,solitary,oligolectic,2.009756098,0.116461818,0.057948235,1.804878049,2.048780488,2.048780488,2.097560976,2.048780488,yes,no,0.516743198,0.199600412,1.337790488,0.94286759,0.440009045,1.718344262,0.709908304,0.293517904,1.652993572,0,0,0,0,NA,Andrena pallidifovea
Andrena pensilis,below,ex,solitary,oligolectic,1.639344262,NA,NA,1.639344262,NA,NA,NA,NA,yes,no,0.387887734,0.166875444,0.901611948,0.768382281,0.397161631,1.486576956,0.527070889,0.242502858,1.11503103,0,0,0,0,NA,Andrena pensilis
Andrena piperi,below,ex,solitary,polylectic,1.375609756,0.053436347,0.038845571,1.365853659,1.317073171,1.365853659,1.365853659,1.463414634,yes,yes,0.303007292,0.143032183,0.641907416,0.644255113,0.363628512,1.129281583,0.407862571,0.205743042,0.794457212,8,3,6,1,0.333786471,Andrena piperi
Andrena plana,below,ex,solitary,oligolectic,1.924,0.115238882,0.059895469,1.9,2,2.08,1.8,1.84,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Andrena plana
Andrena prunorum,below,ex,solitary,polylectic,2.572,0.075630682,0.029405397,2.52,2.62,2.68,2.5,2.54,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Andrena prunorum
Andrena scurra,below,ex,solitary,polylectic,1.96104424,0.148428884,0.075688698,2,2.166667,1.9759036,1.7590361,1.9036145,no,yes,0.499196298,0.195341588,1.275698364,0.919912553,0.434612869,2.005657676,0.684896572,0.286845307,1.576439607,5,0,4,0,0.101760821,Andrena scurra
Andrena semipunctata,below,ex,solitary,oligolectic,1.950819672,0.115919144,0.059420738,1.868852459,2.032786885,NA,NA,NA,yes,no,0.495535602,0.194446049,1.262846606,0.915094641,0.433471787,1.810896736,0.679682737,0.285443422,1.560593523,1,0,1,0,0.425364354,Andrena semipunctata
