GenusSpecies,NestLoc,Excavate,Sociality,Lecty,MeanITD,SDITD,ITDCV,Specimen1,Specimen2,Specimen3,Specimen4,Specimen5,Neal,InKremen,PredForDist_Typical,CILow_Typical,CIHigh_Typical,PredForDist_Feeder,CILow_Feeder,CIHigh_Feeder,PredForDist_HomingMax,CILow_HomingMax,CIHigh_HomingMax,abun.net,abun.pan,num.occ.net,num.occ.pan,d,GenusSpecies
Dioxys pomonae,above,rent,solitary,parasite,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Dioxys pomonae
Dufourea sp. 2,below,ex,solitary,oligolectic,1.606557377,NA,NA,1.606557377,NA,NA,NA,NA,yes,no,0.37700969,0.163938158,0.867011735,0.752945828,0.393146818,1.442024693,0.511732499,0.237954473,1.07233474,0,0,0,0,NA,Dufourea sp. 2
Eucera actuosa,below,ex,solitary,polylectic,2.731707317,0.097560976,0.035714286,2.682926829,2.780487805,2.585365854,2.829268293,2.780487805,yes,yes,0.796060227,0.261412085,2.424187412,1.28334792,0.513446606,3.121817664,1.111863462,0.391341355,2.991371682,82,992,18,128,0.657820571,Eucera actuosa
Eucera amsinckiae,below,ex,solitary,oligolectic,3.141463415,0.196942724,0.062691395,3.073170732,3.12195122,3.12195122,2.926829268,3.463414634,yes,no,0.969186678,0.295583231,3.177862332,1.47678338,0.550834357,3.830328752,1.363897395,0.446110263,3.919003562,0,0,0,0,NA,Eucera amsinckiae
Eucera dorsata,below,ex,solitary,polylectic,3.133333333,0.115470054,0.036852145,3,3.2,3.2,NA,NA,yes,no,0.965656975,0.294910711,3.161951597,1.472944212,0.550116966,3.693802855,1.35874056,0.445028141,3.899426009,0,4,0,4,NA,Eucera dorsata
Eucera edwardsii,below,ex,solitary,polylectic,2.536,0.17052859,0.067243135,2.46,2.72,2.48,2.7,2.32,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,3,NA,Eucera edwardsii
Eucera frater albopilosa,below,ex,solitary,polylectic,3.9,0.1,0.025641026,3.9,4,4,3.8,3.8,yes,yes,1.31420439,0.357476649,4.831457333,1.835161404,0.614130898,5.48387549,1.871094338,0.546357051,5.952655969,1,8,1,8,0.424358166,Eucera frater albopilosa
Eucera lunata,below,ex,solitary,polylectic,3.766666667,0.2081666,0.055265469,3.7,4,3.6,NA,NA,yes,no,1.251387838,0.346711364,4.516643195,1.772141988,0.603480485,5.065858293,1.778324977,0.528832048,5.565626127,0,0,0,0,NA,Eucera lunata
Eucera stretchii,below,ex,solitary,polylectic,3.073170732,NA,NA,3.073170732,NA,NA,NA,NA,yes,no,0.939653625,0.289927455,3.045413324,1.44453578,0.544779249,3.830328752,1.320772501,0.437014927,3.756023296,0,0,0,0,NA,Eucera stretchii
Eucera virgata,below,ex,solitary,polylectic,3.02,0.192353841,0.063693325,3,2.9,2.8,3.3,3.1,yes,no,0.916844413,0.285513505,2.944181841,1.41943096,0.540018457,3.693802855,1.287501309,0.429924779,3.631445928,0,10,0,3,NA,Eucera virgata
Habropoda depressa,below,ex,solitary,polylectic,4.48,0.238746728,0.05329168,4.8,4.6,4.5,4.3,4.2,yes,no,1.597505454,0.403808994,6.319878242,2.109405272,0.658480705,7.497312412,2.291488932,0.622169917,7.781796019,0,0,0,0,NA,Habropoda depressa
Habropoda tristissima,below,ex,solitary,polylectic,4.26,0.230217289,0.054041617,4.6,4.1,4.3,4,4.3,yes,no,1.48816813,0.386325511,5.732586425,2.005361618,0.642014953,7.031810138,2.128872955,0.593490492,7.060195314,3,2,3,1,0.779188048,Habropoda tristissima
Halictus farinosus,below,ex,social,polylectic,2.126829268,0.073979272,0.034783832,2.146341463,2.048780488,2.243902439,2.097560976,2.097560976,yes,no,0.559623625,0.209785613,1.492850712,0.998047478,0.452718112,2.230735812,0.77116573,0.30951368,1.844134747,2,2,2,2,0.299014378,Halictus farinosus
Halictus ligatus,below,ex,social,polylectic,1.531707317,0.208675606,0.136237259,1.414634146,1.414634146,1.902439024,1.463414634,1.463414634,yes,yes,0.352515707,0.157205061,0.790479156,0.717710923,0.383825814,1.190572003,0.477257882,0.227548779,0.977880555,1661,1265,365,291,0.212897491,Halictus ligatus
Halictus tripartitus,below,ex,social,polylectic,1.2915664,0.103080685,0.079810597,1.349398,1.445783,1.228916,1.228916,1.204819,yes,yes,0.277271105,0.135321788,0.568121857,0.604721665,0.352280757,1.108852543,0.371955499,0.193939296,0.703328992,5255,36996,611,630,0.145954028,Halictus tripartitus
Heriades occidentalis,above,rent,solitary,polylectic,1.396721312,0.067988332,0.048677092,1.475409836,1.31147541,1.442622951,1.409836066,1.344262295,yes,yes,0.309575226,0.144959941,0.661126242,0.654187595,0.366424457,1.26844172,0.417045251,0.208700903,0.818189285,4,0,4,0,0.276193416,Heriades occidentalis
Hesperapis ilicifoliae,below,ex,solitary,oligolectic,1.423168092,0.035302993,0.02480592,1.409836066,1.475409836,1.409836066,1.3975904,NA,yes,no,0.317860267,0.147369911,0.685588726,0.666631131,0.369897506,1.184495282,0.428639244,0.212402308,0.848394178,2,4,2,4,0.575345264,Hesperapis ilicifoliae
Hesperapis regularis,below,ex,solitary,oligolectic,2.048780488,0.133590868,0.065205066,2.097560976,1.951219512,2.048780488,1.902439024,2.243902439,yes,no,0.53092643,0.203003258,1.388563299,0.961259311,0.444285328,2.15481789,0.730149198,0.298856168,1.71558591,0,4,0,2,NA,Hesperapis regularis
Hoplitis albifrons maura,above,rent,solitary,polylectic,2.634146341,0.294708438,0.111880055,3.024390244,2.87804878,2.43902439,2.43902439,2.390243902,yes,no,0.756323981,0.253187529,2.259297554,1.237310516,0.504141147,3.739126355,1.054296689,0.378227619,2.788343102,0,6,0,4,NA,Hoplitis albifrons maura
Hoplitis fulgida platyura,above,rent,solitary,polylectic,1.508196721,NA,NA,1.508196721,NA,NA,NA,NA,yes,no,0.344921236,0.155082038,0.767146605,0.706645139,0.380851538,1.311133876,0.466587179,0.2242738,0.949080237,0,0,0,0,NA,Hoplitis fulgida platyura
Hoplitis grinnelli,above,rent,solitary,polylectic,1.278688525,NA,NA,1.278688525,NA,NA,NA,NA,yes,no,0.27338653,0.134135055,0.55720106,0.598665006,0.350509875,1.022509822,0.366546536,0.192126431,0.689839178,0,2,0,2,NA,Hoplitis grinnelli
Hoplitis howardi,above,rent,solitary,oligolectic,1.147540984,NA,NA,1.147540984,NA,NA,NA,NA,yes,no,0.23475063,0.121964025,0.45183699,0.53700056,0.331944193,0.868729166,0.312916086,0.173596747,0.55965683,0,0,0,0,NA,Hoplitis howardi
Hoplitis hypocrita,above,rent,solitary,polylectic,2.585365854,0.059743652,0.023108394,2.536585366,2.585365854,2.536585366,2.585365854,2.682926829,yes,no,0.736678545,0.249061493,2.178961001,1.21429469,0.499424165,2.868924456,1.025878256,0.371659374,2.689412957,0,0,0,0,NA,Hoplitis hypocrita
Hoplitis producta gracilis,above,rent,solitary,polylectic,1.26557377,0.085497736,0.067556501,1.245901639,1.147540984,1.37704918,1.245901639,1.31147541,yes,yes,0.269446874,0.132925007,0.546184797,0.592497223,0.348697284,0.983279043,0.361063877,0.190279041,0.676230842,12,57,8,22,0.40803709,Hoplitis producta gracilis
Hoplitis sambuci,above,rent,solitary,polylectic,2.234146342,0.093831142,0.041998655,2.097560976,2.341463415,2.243902439,2.195121951,2.292682927,yes,no,0.599787329,0.219062525,1.642201651,1.048641136,0.464065883,2.15481789,0.828705614,0.324127886,2.028195934,4,0,2,0,0.754108051,Hoplitis sambuci
Hylaeus bisinuatus,above,rent,solitary,polylectic,1.1461212,0.085430125,0.074538474,1.156627,1.125,1.061224,1.285714,1.102041,yes,yes,0.234341794,0.121831373,0.450754801,0.536333158,0.331737585,0.879109738,0.312350294,0.173395445,0.558319404,8,0,8,0,0.10600858,Hylaeus bisinuatus
Hylaeus calvus,above,rent,solitary,polylectic,1.160655738,0.099986562,0.086146614,1.147540984,1.049180328,1.278688525,1.245901639,1.081967213,yes,yes,0.238536843,0.123188414,0.461892668,0.543165627,0.333846679,0.868729166,0.318157645,0.175455468,0.572083815,12,0,7,0,0.759375258,Hylaeus calvus
Hylaeus conspicuus,above,rent,solitary,polylectic,1.1518072,0.054948145,0.047706027,1.156627,1.108434,1.204819,1.204819,1.084337,yes,yes,0.235980354,0.122362503,0.455096342,0.539006015,0.33256425,0.879109738,0.31461814,0.174201533,0.563684862,29,14,15,12,0.320012223,Hylaeus conspicuus
Hylaeus episcopalis,above,rent,solitary,polylectic,1.277551,0.088487406,0.069263306,1.22449,1.428571,1.22449,1.285714,1.22449,no,yes,0.273044164,0.13403016,0.556241336,0.598130024,0.350353025,0.957938961,0.366069957,0.191966242,0.68865366,1,0,1,0,0.155365259,Hylaeus episcopalis
Hylaeus leptocephalus,above,rent,solitary,oligolectic,1.144764029,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,0,0.223827396,Hylaeus leptocephalus
Hylaeus mesillae,above,rent,solitary,polylectic,0.94375,0.080888619,0.085709795,0.84375,0.96875,1.03125,1,0.875,yes,yes,0.178259715,0.102705511,0.309394556,0.44124463,0.300858376,0.546680583,0.235126536,0.144531375,0.383549533,452,73,147,52,0.262393205,Hylaeus mesillae
Hylaeus rudbeckiae,above,rent,solitary,polylectic,0.966990291,0.066417986,0.068685267,0.932038835,0.912621359,1.029126214,1.048543689,0.912621359,yes,yes,0.184471277,0.104925402,0.324322343,0.452160239,0.30456182,0.635080918,0.243638633,0.147864483,0.402012702,14,0,11,0,0.400154341,Hylaeus rudbeckiae
Hylaeus verticalis,above,rent,solitary,polylectic,1.366472776,0.107692611,0.078810652,1.442622951,1.2903226,NA,NA,NA,yes,no,0.30017741,0.142196751,0.633674658,0.639956595,0.36241183,1.226227079,0.403908428,0.204462013,0.784290632,3,0,2,0,0.623688371,Hylaeus verticalis
Lasioglossum (Dialictus),below,ex,social,polylectic,1.055737705,0.226443235,0.214488157,0.754098361,0.950819672,1.31147541,1.245901639,1.016393443,yes,yes,0.208747197,0.113344595,0.384450554,0.493854225,0.31831236,0.461589317,0.277007584,0.160547395,0.47636274,649,11665,270,429,NA,Lasioglossum (Dialictus)
Lasioglossum (Dialictus) brunneiiventre,below,ex,social,polylectic,0.929984134,0.199363962,0.214373509,1.147540984,1.147540984,0.7580645,0.8064516,0.7903226,yes,yes,0.227231162,0.119510143,0.432047022,0.524671385,0.328106515,0.868729166,0.302515917,0.169875287,0.535198211,46,8,16,3,0.227808946,Lasioglossum (Dialictus) brunneiiventre
Lasioglossum (Dialictus) diversopunctatum,below,ex,social,polylectic,1.298360656,0.059560335,0.04587349,1.37704918,1.31147541,1.278688525,1.31147541,1.213114754,yes,yes,0.279326959,0.13594732,0.573924885,0.607917217,0.353211522,1.143251843,0.37481929,0.194895289,0.710496891,130,391,78,139,0.086597547,Lasioglossum (Dialictus) diversopunctatum
Lasioglossum (Dialictus) impavidum,below,ex,social,polylectic,1.016393443,0.04015557,0.039507899,1.016393443,0.950819672,1.049180328,1.049180328,1.016393443,yes,yes,0.197877828,0.109623139,0.357184034,0.475368051,0.312290207,0.723605092,0.26204742,0.154933309,0.442650505,21,2,15,1,0.197882202,Lasioglossum (Dialictus) impavidum
Lasioglossum (Dialictus) incompletum,below,ex,social,polylectic,0.941463414,0.056150558,0.059641785,0.902439024,0.975609756,0.902439024,1.024390244,0.902439024,yes,yes,0.177651907,0.102486743,0.307944218,0.440170721,0.300491561,0.604949173,0.234294222,0.144203157,0.381755603,4656,23386,674,459,0.10900268,Lasioglossum (Dialictus) incompletum
Lasioglossum (Dialictus) megastictum,below,ex,social,polylectic,1.13548388,0.061702732,0.054340474,1.115385,1.173077,1.211538,1.0483871,1.1290323,no,yes,0.231285295,0.120836884,0.442686754,0.531332961,0.330185575,0.832326244,0.308121577,0.171886748,0.548348267,16,21,15,19,0.159877079,Lasioglossum (Dialictus) megastictum
Lasioglossum (Dialictus) punctatoventre,below,ex,social,polylectic,1.205107183,0.029293273,0.024307608,1.180327869,1.213114754,1.213114754,1.245901639,1.1730769,yes,yes,0.251499378,0.127326066,0.496771315,0.564063969,0.340216783,0.90638169,0.336126542,0.181745742,0.615182845,29,15,14,13,0.378050754,Lasioglossum (Dialictus) punctatoventre
Lasioglossum (Dialictus) tegulare group,below,ex,social,polylectic,0.87804878,0.062183165,0.070819715,0.87804878,0.804878049,0.87804878,0.975609756,0.853658537,yes,yes,0.16103838,0.096393331,0.269036869,0.410392452,0.290136026,0.580493112,0.211587587,0.135080178,0.333623544,460,966,202,263,0.120836149,Lasioglossum (Dialictus) tegulare group
Lasioglossum (Evylaeus),below,ex,social,polylectic,1.298360656,0.276850254,0.213230625,1.31147541,1.737704918,1.180327869,0.983606557,1.278688525,yes,yes,0.279326959,0.13594732,0.573924885,0.607917217,0.353211522,1.062253088,0.37481929,0.194895289,0.710496891,24,24,5,8,NA,Lasioglossum (Evylaeus)
Lasioglossum (Evylaeus) diatretum,below,ex,social,polylectic,1.239754098,0.037457656,0.030213779,1.213114754,1.245901639,1.2903226,1.2096774,NA,yes,yes,0.261739345,0.13053827,0.524807665,0.580355248,0.345101249,0.944567372,0.35034653,0.186638465,0.649822006,3,0,3,0,0.154339065,Lasioglossum (Evylaeus) diatretum
Lasioglossum (Evylaeus) granosum,below,ex,social,polylectic,1.568800091,0.087677811,0.055888454,1.639344262,1.6129032,1.5806452,1.4423077,NA,yes,yes,0.364594383,0.160546579,0.827978179,0.735171019,0.388472572,1.486576956,0.494247221,0.232709332,1.024163155,2,6,2,4,0.145775826,Lasioglossum (Evylaeus) granosum
Lasioglossum (Evylaeus) kincaidii,below,ex,social,polylectic,1.445783,0.045080156,0.031180444,1.518072,1.39759,1.445783,1.445783,1.421687,yes,yes,0.324994927,0.149426403,0.706847659,0.677272553,0.37284198,1.324085377,0.438632688,0.215563989,0.874641542,14,29,10,24,0.18760786,Lasioglossum (Evylaeus) kincaidii
Lasioglossum (Evylaeus) nigrescens,below,ex,social,polylectic,1.095081967,0.037382801,0.034136989,1.147540984,1.114754098,1.081967213,1.081967213,1.049180328,yes,yes,0.219783121,0.117049305,0.412686093,0.512343515,0.324223948,0.868729166,0.292227505,0.166148356,0.511267415,3,103,3,22,0.137851358,Lasioglossum (Evylaeus) nigrescens
Lasioglossum (Evylaeus) orthocarpi,below,ex,social,polylectic,1.892682927,0.08015452,0.042349682,1.853658537,1.951219512,1.853658537,2,1.804878049,yes,no,0.474870301,0.189343131,1.190969017,0.887702247,0.42692632,1.788768015,0.650277615,0.277463477,1.471962431,0,0,0,0,NA,Lasioglossum (Evylaeus) orthocarpi
Lasioglossum (Evylaeus) sp. B,below,ex,social,polylectic,1.443902439,0.088614157,0.061371291,1.463414634,1.463414634,1.56097561,1.317073171,1.414634146,yes,no,0.324399892,0.149255543,0.705067886,0.676387628,0.372598007,1.252941668,0.437798904,0.215301196,0.872444212,1,1,1,1,0.383901179,Lasioglossum (Evylaeus) sp. B
Lasioglossum (Evylaeus) sp. D,below,ex,social,polylectic,1.678048781,0.095090676,0.056667409,1.804878049,1.609756098,1.707317073,1.56097561,1.707317073,yes,no,0.400843763,0.170333751,0.943299384,0.78660662,0.40185004,1.718344262,0.545360749,0.247864832,1.16646801,0,0,0,0,NA,Lasioglossum (Evylaeus) sp. D
Lasioglossum (Evylaeus) sp. I,below,ex,social,polylectic,1.652459016,0.099986562,0.060507741,1.639344262,1.770491803,1.737704918,1.573770492,1.540983607,yes,no,0.392263967,0.168048362,0.915635343,0.774557254,0.398756369,1.486576956,0.533246186,0.244320606,1.132334694,0,1,0,1,NA,Lasioglossum (Evylaeus) sp. I
Lasioglossum (Evylaeus) sp. red ab,below,ex,social,polylectic,1.357377049,0.071832467,0.052920054,1.245901639,1.37704918,1.344262295,1.37704918,1.442622951,yes,no,0.297367963,0.14136442,0.625530142,0.635677615,0.361196619,0.983279043,0.399984249,0.203186233,0.774232729,0,0,0,0,NA,Lasioglossum (Evylaeus) sp. red ab
Lasioglossum mellipes,below,ex,solitary,polylectic,1.78313252,0.10080239,0.05653107,1.686747,1.8072289,1.686747,1.9277108,1.8072289,yes,yes,0.436632804,0.179675227,1.061071183,0.836095627,0.414314734,1.551790172,0.595999213,0.262384119,1.311756543,2,11,1,9,0.342176133,Lasioglossum mellipes
Lasioglossum sisymbrii,below,ex,solitary,polylectic,1.91999986,0.109544642,0.057054505,2,1.933333,1.733333,1.9333333,2,no,yes,0.484548612,0.191743186,1.224488663,0.900572748,0.430014129,2.005657676,0.664043134,0.281214933,1.513296414,9,1,7,1,0.427392645,Lasioglossum sisymbrii
Lasioglossum titusi,below,ex,solitary,oligolectic,1.89832501,0.162074022,0.085377383,2,1.951219512,1.853658537,1.6385542,2.0481928,yes,yes,0.476864634,0.189839184,1.197855338,0.890360473,0.427565887,2.005657676,0.653113297,0.278238586,1.48045435,35,57,14,27,0.39729221,Lasioglossum titusi
Megachile angelarum,above,rent,solitary,polylectic,2.165853659,0.101153372,0.046703697,2.048780488,2.292682927,2.243902439,2.146341463,2.097560976,yes,yes,0.574135167,0.213165444,1.546363161,1.016443866,0.456876808,2.079788382,0.791937805,0.314833175,1.910088422,56,1,30,1,0.485926658,Megachile angelarum
Megachile apicalis,mix,rent,solitary,oligolectic,2.312195122,0.177898366,0.076939167,2.243902439,2.292682927,2.585365854,2.341463415,2.097560976,yes,yes,0.62949798,0.225775429,1.755140979,1.085443462,0.472149479,2.385197118,0.871365639,0.334728618,2.167358054,161,89,104,60,0.302401052,Megachile apicalis
Megachile brevis,mix,rent,solitary,polylectic,2.45783135,0.068154841,0.027729665,2.4096386,2.5060241,NA,NA,NA,yes,yes,0.686032581,0.23822907,1.97558049,1.154130169,0.486878491,2.655436981,0.952750989,0.354449778,2.4389235,10,10,9,10,0.439405413,Megachile brevis
Megachile coquilletti,above,rent,solitary,polylectic,3.36,0.134164079,0.039929785,3.3,3.5,3.5,3.2,3.3,yes,yes,1.065444345,0.313583595,3.619996928,1.579996684,0.569783328,4.263994272,1.504797003,0.475133321,4.462949116,27,10,27,10,0.315087302,Megachile coquilletti
Megachile fidelis,above,rent,solitary,polylectic,2.6,0.167006475,0.064233259,2.8571429,2.4761905,2.6190476,2.6190476,2.4285714,yes,yes,0.742556434,0.250300285,2.202914226,1.221199233,0.50084387,3.43209906,1.03437801,0.373630658,2.718910907,20,2,16,2,0.186977552,Megachile fidelis
Megachile frugalis,above,rent,solitary,polylectic,2.653658537,0.095090676,0.035833803,2.682926829,2.780487805,2.585365854,2.682926829,2.536585366,yes,yes,0.764223965,0.254835347,2.291825983,1.246517389,0.506015769,3.121817664,1.065732547,0.380852771,2.828397854,6,0,6,0,0.226228129,Megachile frugalis
Megachile gentilis,above,rent,solitary,polylectic,2.6466668,0.2280351,0.086159353,2.4,2.5,3,2.666667,2.666667,yes,yes,0.761390457,0.254245059,2.280144327,1.243218288,0.505344833,2.639455343,1.061630296,0.379912249,2.814013482,54,7,39,7,0.302355325,Megachile gentilis
Megachile lippiae,below,rent,solitary,polylectic,3.095238,NA,NA,3.095238,NA,NA,NA,NA,no,yes,0.949167595,0.291756641,3.087912995,1.454955527,0.546743071,3.871828826,1.334659452,0.439955258,3.808321405,11,2,7,2,0.201625573,Megachile lippiae
Megachile montivaga,above,rent,solitary,polylectic,2.576422778,0.274087447,0.106382947,2.585365854,2.536585366,2.926829268,2.1666667,2.6666667,yes,yes,0.733093179,0.248304037,2.16438531,1.210075339,0.498554602,2.952423404,1.02069489,0.370454358,2.671462909,7,8,7,7,0.265392751,Megachile montivaga
Megachile occidentalis,mix,rent,solitary,polylectic,2.712716908,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0.339521375,Megachile occidentalis
Megachile onobrychidis,mix,rent,solitary,polylectic,2.575609756,0.121462435,0.047158711,2.487804878,2.487804878,2.487804878,2.682926829,2.731707317,yes,yes,0.732767483,0.24823516,2.16306257,1.209691759,0.498475475,2.786234327,1.020224077,0.370344796,2.669833934,116,23,62,22,0.287625772,Megachile onobrychidis
Megachile parallela,mix,rent,solitary,polylectic,3.289221853,0.153454784,0.046653826,3.414634146,3.12195122,3.1666667,3.2666667,3.4761905,yes,yes,1.033980635,0.307769722,3.473752858,1.546565236,0.563715204,4.489034353,1.458685372,0.465746891,4.283046661,19,1,10,1,0.240985329,Megachile parallela
Megachile rotundata,above,rent,solitary,oligolectic,2.195121951,0.077128723,0.035136418,2.292682927,2.146341463,2.097560976,2.243902439,2.195121951,yes,yes,0.585089151,0.215695479,1.58709546,1.030242142,0.459971439,2.463721425,0.807630865,0.318818843,1.960287222,34,1,26,1,0.231346214,Megachile rotundata
Megachile texana,below,rent,solitary,polylectic,3.3375,0.16741369,0.050161405,3.15625,3.4375,3.5,3.4375,3.15625,no,yes,1.05541259,0.311737017,3.573190463,1.569368655,0.567861252,3.987348204,1.490089238,0.472150783,4.405371849,0,2,0,2,NA,Megachile texana
Melecta edwardsii,below,rent,solitary,parasite,3.262195122,0.261580102,0.080185302,3.56097561,3.0625,2.96875,3.21875,3.5,yes,no,1.022038545,0.305545708,3.418679295,1.533800247,0.561380979,4.781915932,1.441197605,0.462159337,4.215293436,0,0,0,0,NA,Melecta edwardsii
Melissodes agilis,below,ex,solitary,oligolectic,2.6000002,0.173662832,0.066793392,2.619048,2.857143,2.52381,2.380952,2.619048,yes,yes,0.742556514,0.250300301,2.202914554,1.221199327,0.500843889,3.010546164,1.034378126,0.373630685,2.718911312,502,1589,62,162,0.44733803,Melissodes agilis
Melissodes communis alopex,below,ex,solitary,polylectic,2.79375,0.095299692,0.034111746,2.6875,2.71875,2.875,2.90625,2.78125,no,yes,0.821634201,0.266623849,2.531966897,1.312628717,0.519278553,3.129835678,1.148971577,0.399665518,3.12406349,4,34,3,12,0.490220841,Melissodes communis alopex
Melissodes lupina,below,ex,solitary,oligolectic,2.204878049,0.093831142,0.042556159,2.243902439,2.146341463,2.097560976,2.341463415,2.195121951,yes,yes,0.588753781,0.216537914,1.600786705,1.034841753,0.46099842,2.385197118,0.812883461,0.320146655,1.977159766,390,1173,142,256,0.230260781,Melissodes lupina
Melissodes robustior,below,ex,solitary,oligolectic,2.762812156,0.23253216,0.084165027,2.87804878,3,2.904762,2.5625,2.46875,yes,yes,0.808852343,0.264026751,2.47793873,1.298027353,0.516378566,3.469992338,1.130419352,0.395516106,3.057548784,182,41,38,23,0.405439216,Melissodes robustior
Melissodes stearnsi,below,ex,solitary,oligolectic,2.03902439,0.105753578,0.051864793,2.048780488,2.048780488,2.195121951,1.902439024,2,yes,yes,0.527370199,0.202153287,1.375784338,0.956661231,0.44322008,2.079788382,0.725072135,0.297522206,1.699832594,44,997,21,152,0.303652425,Melissodes stearnsi
Melissodes tepida timberlakei,below,ex,solitary,polylectic,2.214634146,0.095090677,0.04293742,2.146341463,2.341463415,2.097560976,2.243902439,2.243902439,yes,yes,0.592425032,0.217379899,1.614534829,1.039441456,0.462023144,2.230735812,0.818146801,0.321474099,1.99410208,31,104,23,78,0.299661701,Melissodes tepida timberlakei
Neopasites sierrae,below,rent,solitary,parasite,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Neopasites sierrae
Nomada hesperia,NA,rent,solitary,parasite,2.09375,NA,NA,2.09375,NA,NA,NA,NA,no,yes,0.547407534,0.206914802,1.448204795,0.982454859,0.449163168,2.148924084,0.753695347,0.304999778,1.789104953,0,2,0,2,NA,Nomada hesperia
Nomada sp. 1,below,rent,solitary,parasite,2.195121951,0.154257447,0.070272837,2.390243902,2.292682927,2,2.195121951,2.097560976,yes,no,0.585089151,0.215695479,1.58709546,1.030242142,0.459971439,2.623311931,0.807630865,0.318818843,1.960287222,0,0,0,0,NA,Nomada sp. 1
Nomada sp. 2,below,rent,solitary,parasite,1.365853659,NA,NA,1.365853659,NA,NA,NA,NA,yes,no,0.299985938,0.142140118,0.633118671,0.639665335,0.362329243,1.129281583,0.403640938,0.204375192,0.783604037,0,0,0,0,NA,Nomada sp. 2
Nomada sp. 3,below,rent,solitary,parasite,2.067705195,0.111025903,0.053695229,2.097560976,2.168675,2.168675,1.927711,1.975904,yes,yes,0.537844444,0.204650622,1.413514619,0.970178868,0.446344511,2.15481789,0.740029441,0.301442631,1.746343816,6,16,5,12,0.251735577,Nomada sp. 3
Nomada sp. 4,below,rent,solitary,parasite,1.672131148,NA,NA,1.672131148,NA,NA,NA,NA,yes,no,0.398854908,0.169805632,0.936866674,0.78382013,0.401136725,1.531582521,0.54255162,0.247045534,1.158531204,0,0,0,0,NA,Nomada sp. 4
Nomada sp. 5,below,rent,solitary,parasite,1.076042046,0.130887122,0.121637553,1.081967213,0.852459016,1.180723,1.108434,1.156627,yes,yes,0.214421924,0.115258527,0.398901172,0.503395586,0.321376567,0.795053795,0.284829999,0.163439482,0.494227236,0,3,0,3,NA,Nomada sp. 5
Nomada sp. 7,below,rent,solitary,parasite,1.804878049,NA,NA,1.804878049,NA,NA,NA,NA,yes,no,0.444148627,0.181599871,1.086278321,0.846338321,0.416848107,1.718344262,0.606654106,0.265381859,1.342848348,0,0,0,0,NA,Nomada sp. 7
Nomada sp. A,below,rent,solitary,parasite,1.583333333,0.100454695,0.063445071,1.625,1.46875,1.65625,NA,NA,no,yes,0.36935892,0.161853196,0.842899709,0.742012534,0.390278297,1.467029299,0.500954774,0.234729179,1.042578508,3,1,2,1,0.081137585,Nomada sp. A
Osmia aglaia,above,rent,solitary,polylectic,2.195121951,0.097560976,0.044444444,2.097560976,2.195121951,2.097560976,2.292682927,2.292682927,yes,yes,0.585089151,0.215695479,1.587095461,1.030242142,0.459971439,2.15481789,0.807630865,0.318818843,1.960287223,11,8,6,5,0.665790182,Osmia aglaia
Osmia atrocyanea,above,rent,solitary,polylectic,2.819512195,0.13536036,0.048008432,3.024390244,2.87804878,2.780487805,2.731707317,2.682926829,yes,yes,0.83232194,0.268783819,2.577386598,1.324787951,0.521681237,3.739126355,1.164492777,0.403118564,3.179977748,5,8,3,7,0.646066637,Osmia atrocyanea
Osmia bakeri,above,rent,solitary,oligolectic,1.5,NA,NA,1.5,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Osmia bakeri
Osmia bridwelli,NA,rent,solitary,polylectic,3.22,0.192353841,0.059737218,3.3,2.9,3.4,3.2,3.3,yes,no,1.003474759,0.302069029,3.333547952,1.513872036,0.557717398,4.263994272,1.4140287,0.456554578,4.110557356,0,0,0,0,NA,Osmia bridwelli
Osmia cara,NA,rent,solitary,polylectic,3.073170732,0.212629217,0.069188872,2.926829268,3.317073171,2.975609756,NA,NA,yes,no,0.939653624,0.289927455,3.045413323,1.44453578,0.544779249,3.558952094,1.320772501,0.437014927,3.756023295,0,3,0,2,NA,Osmia cara
Osmia coloradensis,above,rent,solitary,oligolectic,2.312195122,0.055618313,0.024054334,2.243902439,2.341463415,2.292682927,2.390243902,2.292682927,yes,yes,0.62949798,0.225775429,1.755140979,1.085443461,0.472149479,2.385197118,0.871365639,0.334728618,2.167358053,4,2,4,2,0.343061117,Osmia coloradensis
Osmia cyanella,above,rent,solitary,polylectic,2.448780488,0.021815297,0.008908637,2.43902439,2.43902439,2.43902439,2.487804878,2.43902439,yes,no,0.682478287,0.237457768,1.961513478,1.149860944,0.485975987,2.70436081,0.947626554,0.35322635,2.421596079,2,1,2,1,0.667191186,Osmia cyanella
