OBJECTID,unitID,descriptn,instCode,codeRef,unitOwner,cSteward,effDate,instName,Shape_Leng,Shape__Area,Shape__Length
56,DLCD,Comp Plan- See DLCD File,36846,GNIS,36846,DLCD,19800000,Elgin,34630.5603721,40135147.9023438,34630.5603720746
57,DLCD,Comp Plan- See DLCD File,9203,GNIS,9203,DLCD,19800000,Elkton,15261.438954,9190196.34558105,15261.4389540163
58,DLCD,Comp Plan- See DLCD File,37917,GNIS,37917,DLCD,19800000,Enterprise,36823.5228426,45987840.9372559,36823.5228426163
59,DLCD,Comp Plan- See DLCD File,2897,GNIS,2897,DLCD,20100000,Estacada,47566.5855091,111790830.976318,47566.5855090932
60,DLCD,Comp Plan- See DLCD File,1120527,GNIS,1120527,DLCD,20170000,Eugene,258924.964362,1546867262.16214,258924.964361587
61,DLCD,Comp Plan- See DLCD File,34171,GNIS,34171,DLCD,19800000,Falls City,26997.3520436,33519798.5169678,26997.3520435887
62,DLCD,Comp Plan- See DLCD File,24857,GNIS,24857,DLCD,19800000,Florence,86741.1524708,243814522.000824,86741.1524708122
63,DLCD,Comp Plan- See DLCD File,40698,GNIS,40698,DLCD,19800000,Fossil,18924.5032881,22010750.5374756,18924.5032881456
64,DLCD,Comp Plan- See DLCD File,35013,GNIS,35013,DLCD,19800000,Garibaldi,34297.7501745,34022081.2181396,34297.7501744815
65,DLCD,Comp Plan- See DLCD File,40096,GNIS,40096,DLCD,19800000,Gaston,19427.9643918,14223110.3406982,19427.9643918129
66,DLCD,Comp Plan- See DLCD File,31950,GNIS,31950,DLCD,19800000,Gates,21581.4896986,18206484.7357788,21581.4896986221
67,DLCD,Comp Plan- See DLCD File,4092,GNIS,4092,DLCD,19800000,Gearhart,42715.9751741,57734218.4168091,42715.9751741376
68,DLCD,Comp Plan- See DLCD File,31951,GNIS,31951,DLCD,20190000,Gervais,21347.1725369,12989660.9799805,21347.1725369405
69,DLCD,Comp Plan- See DLCD File,9208,GNIS,9208,DLCD,19930000,Glendale,28824.5581712,13964749.6680756,28824.5581712067
70,DLCD,Comp Plan- See DLCD File,7068,GNIS,7068,DLCD,19910000,Gold Beach,154769.493062,133888533.417767,154769.49306167
71,DLCD,Comp Plan- See DLCD File,17795,GNIS,17795,DLCD,19800000,Gold Hill,33016.624412,23411235.9794159,33016.6244119864
72,DLCD,Comp Plan- See DLCD File,11821,GNIS,11821,DLCD,19800000,Granite,13257.0093201,10491294.1275635,13257.009320138
73,DLCD,Comp Plan- See DLCD File,19146,GNIS,19146,DLCD,20140000,Grants Pass,186940.001217,408804286.117256,186940.001216806
74,DLCD,Comp Plan- See DLCD File,34612,GNIS,34612,DLCD,19800000,Grass Valley,16365.1401338,14249904.7174072,16365.1401337739
75,DLCD,Comp Plan- See DLCD File,330,GNIS,330,DLCD,19800000,Greenhorn,10679.0244425,2393651.05310059,10679.0244424564
76,DLCD,Comp Plan- See DLCD File,540,GNIS,540,DLCD,19800000,Haines,18531.544919,21055420.7243652,18531.5449189898
77,DLCD,Comp Plan- See DLCD File,541,GNIS,541,DLCD,20120000,Halfway,21868.4646491,11871989.1721191,21868.4646491139
78,DLCD,Comp Plan- See DLCD File,28181,GNIS,28181,DLCD,19950000,Halsey,24223.7148551,18300665.7956543,24223.7148550971
79,DLCD,Comp Plan- See DLCD File,28182,GNIS,28182,DLCD,20140000,Harrisburg,44266.5546758,51134391.5068359,44266.5546758124
80,DLCD,Comp Plan- See DLCD File,35889,GNIS,35889,DLCD,19800000,Helix,12928.2665609,6276763.33984375,12928.2665608513
81,DLCD,Comp Plan- See DLCD File,32718,GNIS,32718,DLCD,19800000,Heppner,45191.6810467,52364300.8103027,45191.681046684
82,DLCD,Comp Plan- See DLCD File,35890,GNIS,35890,DLCD,20040000,Hermiston,121736.933387,391186771.151123,121736.93338715
83,DLCD,Comp Plan- See DLCD File,14282,GNIS,14282,DLCD,19990000,Hines,60375.8363298,85589731.1203613,60375.8363298083
