OBJECTID,unitID,descriptn,instCode,codeRef,unitOwner,cSteward,effDate,instName,Shape_Leng,Shape__Area,Shape__Length
207,DLCD,Comp Plan- See DLCD File,27148,GNIS,27148,DLCD,19800000,Yachats,38518.8919308,26085382.9387817,38518.8919308367
208,DLCD,Comp Plan- See DLCD File,41519,GNIS,41519,DLCD,20080000,Yamhill,24666.4682672,13063578.0628662,24666.4682671675
209,DLCD,Comp Plan- See DLCD File,9270,GNIS,9270,DLCD,19900000,Yoncalla,30522.8950614,26294459.5257568,30522.8950614348
210,DLCD,Comp Plan- See DLCD File,41481,GNIS,41481,DLCD,20220000,Dayton,34731.4674923,32334099.2094727,34731.4674923084
211,DLCD,Comp Plan- See DLCD File,36853,GNIS,36853,DLCD,20090000,La Grande,127171.673643,190327278.307373,127171.673643001
212,DLCD,Comp Plan- See DLCD File,1,GNIS,1,DLCD,20230000,Metro,1245563.07626,11369882038.4906,1245563.07626332
213,DLCD,Comp Plan- See DLCD File,41496,GNIS,41496,DLCD,20210000,McMinnville,162482.795194,367410642.659485,162482.795193932
214,DLCD,Comp Plan- See DLCD File,35922,GNIS,35922,DLCD,20210000,Umatilla,128926.231449,301415730.103516,128926.231448803
215,DLCD,Comp Plan- See DLCD File,16930,GNIS,16930,DLCD,20220000,Phoenix,48142.6908905,70279142.2857971,48142.6908905421
216,DLCD,Comp Plan- See DLCD File,40705,GNIS,40705,DLCD,20240000,Spray,23215.823535,9670730.51672363,23215.8235350347
217,DLCD,Comp Plan- See DLCD File,28218,GNIS,28218,DLCD,20230000,Tangent,64264.5165045,32843599.0625,64264.5165045268
